comparison,n_pairs,correct_mean,incorrect_mean,mean_difference,ci95_low,ci95_high,paired_t,paired_t_p,wilcoxon_W,wilcoxon_p,cohens_dz,paired_t_p_bonferroni,wilcoxon_p_bonferroni
correct_vs_arithmetic_error,20,0.5116550914810173,0.3399891605201576,0.17166593096085958,0.11600161470196485,0.2273302472197543,6.454780135129416,3.4652071844465415e-06,5.0,1.9073486328125e-05,1.443332716196465,1.0395621553339624e-05,5.7220458984375e-05
correct_vs_logic_error,20,0.5116550914810173,0.44661179538964035,0.06504329609137678,0.02813559234909837,0.10195099983365519,3.6885844821959495,0.0015598060497385416,22.0,0.0010166168212890625,0.8247925642941006,0.0046794181492156245,0.0030498504638671875
correct_vs_completely_wrong,20,0.5116550914810173,0.4242346766936992,0.08742041478731802,0.02996803463126322,0.14487279494337282,3.1847772102601954,0.0048777714690276825,22.0,0.0010166168212890625,0.7121378335333938,0.014633314407083048,0.0030498504638671875
