category,arabic_n,english_n,arabic_mean,english_mean,english_minus_arabic,welch_t,welch_p,mann_whitney_u,mann_whitney_p
correct,20,20,0.5116550914810173,0.9286933165043594,0.4170382250233421,10.048702121609377,6.248584713925094e-11,393.0,1.9177119523374596e-07
arithmetic_error,20,20,0.3399891605201576,0.5619143417825745,0.2219251812624169,5.287000136333753,1.7576836052387778e-05,362.0,1.2505163702974243e-05
logic_error,20,20,0.44661179538964035,0.5698109321172409,0.12319913672760052,2.857364434859316,0.007340802516662372,298.0,0.008354827335644516
completely_wrong,20,20,0.4242346766936992,0.5858314671254318,0.16159679043173258,4.060561840168175,0.0003934519626045252,328.0,0.0005629035598941275
